ERROR - 2019-12-24 10:23:45 --> Severity: error --> Exception: syntax error, unexpected ',' F:\FBP.com\application\controllers\admin\Properties.php 185
ERROR - 2019-12-24 10:25:18 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:25:38 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:25:39 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:25:40 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:25:40 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:25:41 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:25:41 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:25:41 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:25:42 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:25:51 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:25:52 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:25:52 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:25:53 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:25:53 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:26:05 --> Severity: error --> Exception: syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 207
ERROR - 2019-12-24 10:26:06 --> Severity: error --> Exception: syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 207
ERROR - 2019-12-24 10:26:06 --> Severity: error --> Exception: syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 207
ERROR - 2019-12-24 10:26:07 --> Severity: error --> Exception: syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 207
ERROR - 2019-12-24 10:26:07 --> Severity: error --> Exception: syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 207
ERROR - 2019-12-24 10:26:07 --> Severity: error --> Exception: syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 207
ERROR - 2019-12-24 10:39:16 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:39:34 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 203
ERROR - 2019-12-24 10:39:47 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:39:48 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:39:48 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:39:48 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:39:48 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:39:49 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 202
ERROR - 2019-12-24 10:39:58 --> Severity: error --> Exception: syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 207
ERROR - 2019-12-24 10:39:59 --> Severity: error --> Exception: syntax error, unexpected 'if' (T_IF), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 207
ERROR - 2019-12-24 10:41:27 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 193
ERROR - 2019-12-24 10:41:38 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 193
ERROR - 2019-12-24 10:42:03 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 193
ERROR - 2019-12-24 10:42:04 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 193
ERROR - 2019-12-24 10:42:04 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 193
ERROR - 2019-12-24 10:42:05 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 193
ERROR - 2019-12-24 10:42:05 --> Severity: error --> Exception: syntax error, unexpected '$this' (T_VARIABLE), expecting function (T_FUNCTION) or const (T_CONST) F:\FBP.com\application\controllers\admin\Properties.php 193
